feature,importance
regime_bull,0.020013452973216772
regime_bear,0.11708980036200956
vol_ratio,0.29006713861599565
ret_21d,0.3278626936953515
vol_5d,0.34617827413603663
skew_21d,0.389835859532468
rsi_14,0.4520461402426008
ret_252d,0.45210212192614563
ret_63d,0.45595527833211236
vol_21d,0.5091989414067939
beta_63d,0.5195755154709332
ret_1d,0.5298984164255671
ret_5d,0.5527828127960674
dist_ma50,0.5601725202286616
