date,AAPL,ABBV,AEP,AMZN,BAC,BLK,COP,CVX,DUK,EOG,EXC,GOOGL,GS,HD,JNJ,JPM,MCD,META,MRK,MS,MSFT,NEE,NKE,NVDA,PFE,SLB,SO,UNH,WMT,XOM
2019-01-01,9.013152181746621e-17,0.12682821298850078,0.0,3.131135487673818e-17,0.0,0.14999999999999983,1.5446649804053138e-16,2.181874392999621e-16,1.0657353781556309e-16,0.0,2.0196327327408767e-17,1.1177013243042828e-16,0.0,0.0,0.14999999999999986,1.203529502794035e-18,7.369039340047e-17,0.14999999999999986,0.0,0.0,6.961824304216909e-17,0.0,1.9424367766278587e-17,0.13465177945938492,0.0,0.0,0.0,0.14999999999999986,0.13852000755211383,0.0
2019-02-01,2.965641665044036e-16,7.996773001353426e-17,1.273361773936416e-17,1.7112674770617974e-16,0.0,0.0,4.246735009975046e-18,2.5279373370765605e-16,0.0,0.0,3.40811568198989e-17,2.2755900863938647e-17,0.14999999999999922,6.576450146478375e-17,0.0,0.10000000000000407,0.14999999999999922,6.861761866762948e-17,7.708436297452487e-17,1.3333661355394386e-16,0.0,0.0,0.0,0.0,0.0,0.14999999999999888,0.1499999999999993,0.0,0.14999999999999897,0.14999999999999925
2019-03-01,0.0,0.14999999999999938,0.0,0.14999999999999947,1.6575082356134777e-16,0.09081533628244165,5.96430062588019e-17,5.804380805438578e-17,0.0,4.4498057161895055e-17,0.14999999999999933,0.0,0.09724687281240896,6.276542449992123e-18,0.0,0.0,2.74287931356619e-16,0.0,9.877972431742486e-17,0.0,5.1440339197591276e-17,1.7960699627621895e-16,8.678871815240763e-17,0.14999999999999944,2.558591327928649e-17,0.14999999999999936,6.141161105266887e-17,1.06591062157004e-16,0.030087787269514707,0.03185000363563662
2019-04-01,1.2237448421632328e-18,0.0,5.229433026298567e-17,6.374126260335304e-17,0.14999999999999997,8.172711385059925e-17,0.0006399537856767273,1.1935575064606274e-16,3.065665950210556e-17,1.1954292431082467e-17,8.212310901606094e-19,5.604502462114488e-17,0.14999999999999966,0.021409374431523846,0.0,0.14999999999999988,0.07795067178279949,0.14999999999999986,0.0,1.410157859672993e-16,1.3501934527387938e-16,5.863934057392472e-17,2.9552789312798993e-17,7.27003653412089e-17,1.0815964686212777e-16,0.14999999999999974,6.055299173835627e-17,0.14999999999999986,0.0,7.00572741968639e-17
2019-05-01,0.0,0.0,2.0301807531125926e-16,0.0,0.0,0.0,0.14999999999999986,0.0,2.4112936115385876e-16,0.14999999999999988,0.0,6.602567010967078e-18,7.49781694714928e-17,2.693488299668704e-17,0.0,0.0,0.0,0.0,0.14999999999999988,8.586892388963866e-18,0.0,0.035375390931583754,0.0,0.0,0.14999999999999988,0.14999999999999977,0.06462460906841645,0.14999999999999988,0.0,2.587987773265639e-18
2019-06-01,0.0,0.0,0.0,0.0,0.0,2.1760357894681712e-16,0.0,0.0,9.702029448292564e-17,0.0,0.14999999999999972,3.7648527414771954e-17,0.0,0.14999999999999972,2.709805537221039e-17,3.2513459248184484e-16,0.14999999999999966,0.06874747422704741,0.0,0.0,8.722040195528811e-17,0.09752778350737994,0.0,0.0,0.14999999999999972,0.0,0.14999999999999972,0.0,0.08372474226557326,9.38440201534978e-17
2019-07-01,0.0,1.477590117336272e-16,0.0,0.0,0.0865161365806723,0.0,0.0,0.08077150520958784,0.0,0.0,1.1996537633538906e-16,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.03821181629501855,0.15,0.0,0.0,0.044500541914721053,0.0
2019-08-01,0.0,0.14999999999999983,0.14999999999999974,0.0,8.391779911518853e-17,2.1231307773062036e-16,5.208602169227111e-18,0.0,8.993135137284519e-18,0.1499999999999998,1.0461014926953657e-16,7.522764611789867e-17,8.782350004223611e-17,6.975517883101571e-18,9.215361688597381e-17,2.7119387253089005e-17,0.0,7.924133459564048e-17,0.14999999999999983,9.040216548013349e-17,1.2490322602539227e-16,0.0,2.3123733037822116e-16,0.14999999999999983,0.08500346006719438,0.14999999999999944,0.01499653993280559,0.0,1.1229014288324203e-16,0.0
2019-09-01,0.0,0.1499999999999998,1.2827175145935027e-15,1.3908028091339284e-16,0.0,0.0,0.0,0.0,0.1499999999999998,0.0,7.831639728550709e-16,5.985813090416885e-16,0.1499999999999998,0.1499999999999998,2.289485998997033e-16,0.0,0.0,0.0,0.0,0.1499999999999998,0.0,0.010767191975443811,0.0,0.1499999999999998,0.0,0.0,3.74800174357688e-16,0.0,0.08923280802455419,0.0
2019-10-01,0.0,0.0,0.14999999999999983,0.0,0.0,1.5906922314517012e-16,0.0,0.0,0.0,0.14999999999999983,2.5948704867852133e-18,0.0,0.0,0.0,0.0,0.0,0.08583611729942905,0.0,0.0,0.0,0.0,0.1499999999999998,0.0,0.14999999999999983,0.14999999999999983,0.0,0.05980963456800812,7.386969937474801e-16,0.10435424813256271,6.803771277698738e-17
