Date,SPY
2015-01-02,170.12498474121094
2015-01-05,167.05262756347656
2015-01-06,165.47911071777344
2015-01-07,167.54119873046875
2015-01-08,170.51419067382812
2015-01-09,169.14776611328125
2015-01-12,167.82275390625
2015-01-13,167.35072326660156
2015-01-14,166.3403778076172
2015-01-15,164.816650390625
2015-01-16,166.97805786132812
2015-01-20,167.3341827392578
2015-01-21,168.17889404296875
2015-01-22,170.67987060546875
2015-01-23,169.7440948486328
2015-01-26,170.14157104492188
2015-01-27,167.89732360839844
2015-01-28,165.74415588378906
2015-01-29,167.27621459960938
2015-01-30,165.17274475097656
2015-02-02,167.21823120117188
2015-02-03,169.6363983154297
2015-02-04,168.9904022216797
2015-02-05,170.69642639160156
2015-02-06,170.22442626953125
2015-02-09,169.4624786376953
2015-02-10,171.2678680419922
2015-02-11,171.3672332763672
2015-02-12,173.01522827148438
2015-02-13,173.72744750976562
2015-02-17,174.00070190429688
2015-02-18,174.01727294921875
2015-02-19,173.89303588867188
2015-02-20,174.9364776611328
2015-02-23,174.9116668701172
2015-02-24,175.40855407714844
2015-02-25,175.25946044921875
2015-02-26,175.05239868164062
2015-02-27,174.4561767578125
2015-03-02,175.55760192871094
2015-03-03,174.83714294433594
2015-03-04,174.10008239746094
2015-03-05,174.29054260253906
2015-03-06,171.83924865722656
2015-03-09,172.55148315429688
2015-03-10,169.7523651123047
2015-03-11,169.3548583984375
2015-03-12,171.50802612304688
2015-03-13,170.4562225341797
2015-03-16,172.73361206054688
2015-03-17,172.22019958496094
2015-03-18,174.29054260253906
2015-03-19,173.4955291748047
2015-03-20,175.02699279785156
2015-03-23,174.6858673095703
2015-03-24,173.704345703125
2015-03-25,171.15887451171875
2015-03-26,170.7512969970703
2015-03-27,171.14227294921875
2015-03-30,173.23019409179688
2015-03-31,171.71624755859375
2015-04-01,171.1089630126953
2015-04-02,171.72459411621094
2015-04-06,172.88079833984375
2015-04-07,172.42330932617188
2015-04-08,173.00555419921875
2015-04-09,173.77084350585938
2015-04-10,174.7191619873047
2015-04-13,173.928955078125
2015-04-14,174.26165771484375
2015-04-15,175.04359436035156
2015-04-16,174.99366760253906
2015-04-17,172.98062133789062
2015-04-20,174.56114196777344
2015-04-21,174.35316467285156
2015-04-22,175.2098846435547
2015-04-23,175.65086364746094
2015-04-24,176.0583953857422
2015-04-27,175.326416015625
2015-04-28,175.88372802734375
2015-04-29,175.16001892089844
2015-04-30,173.40487670898438
2015-05-01,175.2848358154297
2015-05-04,175.78392028808594
2015-05-05,173.77084350585938
2015-05-06,173.0554962158203
2015-05-07,173.74591064453125
2015-05-08,176.033447265625
2015-05-11,175.19326782226562
2015-05-12,174.66932678222656
2015-05-13,174.70257568359375
2015-05-14,176.52426147460938
2015-05-15,176.71559143066406
2015-05-18,177.26461791992188
2015-05-19,177.20632934570312
2015-05-20,177.08160400390625
2015-05-21,177.5972900390625
2015-05-22,177.17308044433594
2015-05-26,175.26815795898438
2015-05-27,176.931884765625
2015-05-28,176.73223876953125
2015-05-29,175.6342010498047
2015-06-01,175.9918975830078
2015-06-02,175.81724548339844
2015-06-03,176.28302001953125
2015-06-04,174.79405212402344
2015-06-05,174.4945526123047
2015-06-08,173.42153930664062
2015-06-09,173.39654541015625
2015-06-10,175.4761505126953
2015-06-11,176.04183959960938
2015-06-12,174.69422912597656
2015-06-15,173.9456024169922
2015-06-16,174.89385986328125
2015-06-17,175.1766357421875
2015-06-18,176.99838256835938
2015-06-19,176.21267700195312
2015-06-22,177.1154022216797
2015-06-23,177.24078369140625
2015-06-24,175.95355224609375
2015-06-25,175.41859436035156
2015-06-26,175.3851318359375
2015-06-29,171.70724487304688
2015-06-30,172.0667266845703
2015-07-01,173.44595336914062
2015-07-02,173.287109375
2015-07-06,172.79391479492188
2015-07-07,173.88052368164062
2015-07-08,170.96334838867188
2015-07-09,171.2726287841797
2015-07-10,173.42922973632812
2015-07-13,175.3433380126953
2015-07-14,176.10398864746094
2015-07-15,176.04547119140625
2015-07-16,177.4581298828125
2015-07-17,177.60861206054688
2015-07-20,177.70050048828125
2015-07-21,176.99838256835938
2015-07-22,176.6808319091797
2015-07-23,175.68603515625
2015-07-24,173.86386108398438
2015-07-27,172.85235595703125
2015-07-28,174.97557067871094
2015-07-29,176.1792449951172
2015-07-30,176.2210693359375
2015-07-31,175.95355224609375
2015-08-03,175.36007690429688
2015-08-04,175.01734924316406
2015-08-05,175.5941619873047
2015-08-06,174.15640258789062
2015-08-07,173.82200622558594
2015-08-10,176.01210021972656
2015-08-11,174.42391967773438
