Date,ml_returns,mvo_returns,eq_returns,spy_returns
2019-01-03,-0.028797677859866835,-0.021840037929573543,-0.019976815747381815,-0.0241523572281364
2019-01-04,0.029789767714831314,0.028814800288826915,0.029689995298054772,0.032947149735508025
2019-01-07,0.010252972925425485,0.010495131501535745,0.006573956939387283,0.007853724650489695
2019-01-08,0.010280815895121736,0.008925647880207083,0.00838349448010622,0.009351467624565929
2019-01-09,-0.0004044624442531618,-0.0034952228909063635,0.003359119832748954,0.004662565667810507
2019-01-10,0.004513996730070666,0.003096791718079415,0.002849823947610644,0.0035213887507549815
2019-01-11,0.004016685380870058,-0.0001355456291240707,-0.0012363137911731155,0.0003860193753439284
2019-01-14,-0.0024344659172973043,-0.012170645416905703,-0.004837309754115569,-0.006119505614737969
2019-01-15,0.014210586097138165,0.021153269050323806,0.012869066497588216,0.011395863606225342
2019-01-16,0.0035269715778317038,0.002342448459750825,0.007241786734523081,0.0024165519347092374
2019-01-17,0.006396970281167184,0.007729928120091485,0.005404566461283434,0.007558227470493038
2019-01-18,0.01862770274743769,0.012953385225117822,0.01472889132074247,0.013222416878379526
2019-01-22,-0.015401236312827643,-0.006890337725394649,-0.01374993021196303,-0.013602851466872368
2019-01-23,-0.0025889213877015316,0.00517275933043114,5.940538114292799e-05,0.0020903108194648334
2019-01-24,0.0015660720407797485,-0.0027487903187013146,0.0010707090420379072,0.0005312882948913521
2019-01-25,-0.0012300537760702454,-0.01349165478235949,0.002970599267368602,0.00842596109334506
2019-01-28,-0.028411929377593556,-0.01543228420209925,-0.013680550406290239,-0.007629364020814279
2019-01-29,-0.0070325164098476965,-0.006979355652439916,-0.00294833577575456,-0.0013278853674222712
2019-01-30,0.015407959385408228,0.01835907975728752,0.01416414437742683,0.015706759460384474
2019-01-31,0.028950704821296476,0.006687027696492137,0.012451887033816165,0.008744091780881237
2019-02-01,-0.0014584656093645171,-0.014199072915122303,-0.00031734146231436307,0.000481605839291427
2019-02-04,0.001719752270351875,0.007091458555598194,0.006498803279652404,0.007010801505921207
2019-02-05,0.0048133748038914955,0.005617673121467333,0.0030164722512287657,0.004183083663165609
2019-02-06,-0.00369596578055826,-0.003036877854985102,-0.0028962830072862414,-0.0013192452450468942
2019-02-07,-0.007834097651462093,-0.001100483137550286,-0.00867818835874519,-0.009578343588249579
2019-02-08,-0.006585204056329874,-0.006142036404740544,-0.002500384825378721,0.0012204146203413546
2019-02-11,0.0035740134858469825,-0.0006012662118140431,-0.0010195427378065578,0.0005547048637341136
2019-02-12,0.011089608121803115,0.012804611349011463,0.013029798184784634,0.012777430496309996
2019-02-13,0.004724423006233914,0.001992519771739486,0.0028611355739989824,0.0032417538505027277
2019-02-14,-0.0009358691303699882,-0.0001801669400671263,-0.0011977000196623398,-0.002220682147782133
2019-02-15,0.018679027947665204,0.010892478269074996,0.012580826130569451,0.010838109534880297
2019-02-19,0.0065195551474237215,0.0021533049589694355,0.0015936403878915651,0.0017290116710874373
2019-02-20,0.0022692462475784637,-0.001764049440862151,0.002454106338839708,0.002013582293829335
2019-02-21,-0.0045600388055457765,0.0020508190940034124,-0.004965642433020116,-0.003562094787605528
2019-02-22,0.00020155724486099497,0.006887048071416315,0.0054884844147517885,0.00618062862960605
2019-02-25,0.0011161850147535857,-0.0008749804888206102,0.0002285237902937457,0.001360415321579284
2019-02-26,-0.003081123374459282,0.002053344650409044,-0.001095809760379241,-0.0007156683630260057
2019-02-27,0.0012740184375220937,-0.0073130228413754075,-0.0020806732935026093,-0.0004296835550038947
2019-02-28,-2.2281886468922436e-05,-0.0029715745698496634,-0.002286141024070515,-0.0018642816554393356
2019-03-01,0.007077214946805608,0.008873074486137864,0.00886775141703514,0.0062244247455884956
2019-03-04,-0.0011470363557177518,-0.008845111890684465,-0.0024214259441499636,-0.003644167260203729
2019-03-05,-0.0034182523847336725,0.0013797098202389627,0.0002906395440200126,-0.0013609390000742887
2019-03-06,-0.01438564800421916,-0.005133188612883979,-0.007252629514543744,-0.006075503612820182
2019-03-07,-0.011415595359298935,-0.008478712184670627,-0.007644068422911311,-0.008400583186113742
2019-03-08,-0.003537667551737159,-0.004195157873156764,-0.004033184517709868,-0.0020018667939313553
2019-03-11,0.02177146613570785,0.01572992228451518,0.014166597421067566,0.014397230597352342
2019-03-12,0.006054042193210878,0.0036117695399624696,0.004582752330818798,0.0037638483064422012
2019-03-13,0.011575862576403442,0.010288102892427684,0.007698262498453307,0.00659746662269054
2019-03-14,-0.001176101831676135,0.00202319762569585,-0.00019950035776230383,-0.0006402371854593171
2019-03-15,0.007700151065421995,0.0059550094909464595,0.003898010268680624,0.004928389480959513
2019-03-18,0.007175869253570584,0.0072232872428822405,0.005133476147805834,0.003619164192847181
2019-03-19,0.0038112908860075618,-0.0001318056519473091,0.00011277360264699615,0.00024805020519340837
2019-03-20,0.0002509173792448081,6.499482913992968e-05,-0.0008336970279871267,-0.0030144211960035252
2019-03-21,0.013314129452140203,0.01202408570443623,0.009184563890891178,0.011231369560001642
2019-03-22,-0.02324868037895572,-0.022956327422062776,-0.018467207159143195,-0.01943377959135144
2019-03-25,-0.0034587612630034925,0.0020764597547338246,-0.0018093128795622006,-0.0007526131177947376
2019-03-26,0.011859160487740774,0.005582045460918148,0.00864592839675212,0.007426713884238256
2019-03-27,-0.006781598141384187,-0.006307115964059406,-0.006301906969295553,-0.005242768919386842
2019-03-28,0.004252598875212261,0.002045276311239244,0.001806572787492264,0.003783265648065745
2019-03-29,0.005747179349884973,0.005834144021904637,0.005206532089431538,0.006285241747672563
2019-04-01,0.013713319379208604,0.0029207456082201164,0.009808162099087253,0.011789756999118944
2019-04-02,0.00605529713495488,-0.0009787979721969829,0.0011751809945489517,0.0004898478133476428
2019-04-03,0.0003743623195833776,0.0033395565970984298,0.0009078306007790556,0.0015723131300056916
2019-04-04,0.009702030343129147,-0.0005431793286367168,0.0026717590992077224,0.002649919344620046
2019-04-05,0.003534706188190529,0.007374162403249677,0.007265749552635896,0.004828517668003369
2019-04-08,0.004030744440945742,-0.001070238915771751,0.002016229528251684,0.0007620797752546381
2019-04-09,-0.003831243942603306,-0.0031411136667318547,-0.005504728259606809,-0.005137952867305812
2019-04-10,0.0012887650562967866,0.0019617150638037645,0.0022320102149996444,0.003405358373558691
2019-04-11,-0.006442458305468024,-0.0038737009264823642,-0.0008861294810573121,-0.00027783242934445175
2019-04-12,0.011954873331161072,-0.001692782355643514,0.006797640718054618,0.006742974855837632
2019-04-15,-0.0014873532114518632,0.0021234359283382404,-0.0017540391189675387,-0.0006548473976554378
2019-04-16,-0.0006792841637977851,-0.005151453770371454,-5.7991370221324376e-05,0.0006548473976554145
2019-04-17,0.006950117833823151,-0.001359481828396718,0.00027906949982441423,-0.00244978701651431
2019-04-18,-0.004341190823164616,0.0074346320125344995,-0.0014634799962226453,0.001967131173861043
2019-04-22,0.006018709768720419,0.0061560794192574856,0.004214733669078661,0.0008619138101426257
2019-04-23,0.00493869305089231,0.00839285094357579,0.0065885884281555365,0.008951277132381991
2019-04-24,-0.008801455078555558,-5.295763752699405e-05,-0.004067868783211635,-0.002221566309604841
2019-04-25,0.006700658882309675,0.003541437320369582,0.0023634549167820484,-0.0006161033462668209
2019-04-26,0.005805456948484911,0.00330262044096335,-0.001227426934429241,0.004645783615625244
2019-04-29,0.010034692796124876,-0.0014997888425909956,0.0016751870702561389,0.0015662518002286846
2019-04-30,-0.007873459124177504,0.003582465082845843,0.001181952778180539,0.0005107854555180861
2019-05-01,-0.011167035170553037,-0.011399967318296591,-0.010248289095731819,-0.007544999000298704
2019-05-02,-0.006038528211322359,-0.004335142755089516,-0.0036295557210458736,-0.0021614247361174386
2019-05-03,0.007904587667240575,0.011032455794457524,0.008779710304639234,0.009740413057896196
2019-05-06,0.004932116420579029,-0.010142706948928722,-0.0032807222682952344,-0.004124010461201816
2019-05-07,-0.01153684687581675,-0.015274088591938146,-0.014055660744106937,-0.01684072060608394
2019-05-08,0.0039700343296763,-0.002173235018088266,-0.0019800647504256887,-0.0013902604432465147
2019-05-09,0.0006682013152045556,-0.003305773830755133,-0.0012464448471392856,-0.0030302231070874095
2019-05-10,0.0036949493683987966,0.007048019795629438,0.004296488823830428,0.005010830009330329
2019-05-13,-0.011285965523467632,-0.01857369222538261,-0.01962081828218485,-0.025451031565486466
2019-05-14,0.005634324016157882,0.006494499820987033,0.004140028907278038,0.009002863736837426
2019-05-15,0.0024511755313926242,0.0028088742477335032,0.0034342330866349996,0.005840022509951436
2019-05-16,0.010743475785607588,0.00998260947828718,0.008262469783216445,0.00921882368994854
2019-05-17,-0.00549024576891961,-0.005774390621189305,-0.004588572819431949,-0.006486113320362227
2019-05-20,0.006240363814355846,-0.010714000687529649,-0.0029591008629922897,-0.006634276800709411
2019-05-21,0.010965033416464456,0.005436325125348704,0.007062615170102607,0.008975451239824867
2019-05-22,-0.0058930346898508675,0.0008645532598115983,-0.003337041295774939,-0.0030760147457926873
2019-05-23,-0.020099369187596597,-0.009400090503405489,-0.011732664755769517,-0.012293831334181405
2019-05-24,-0.0028441430005221257,-0.00341054744422582,8.109521515361909e-05,0.0022654634187849253
2019-05-28,-0.008315190853374371,-0.007241647777831758,-0.009429230391354236,-0.009343758611508901
2019-05-29,-0.0056454653960462675,-0.014209662001080195,-0.009486029219952232,-0.006733564824727378
2019-05-30,-0.009449460422696353,0.0014402300669808736,-0.0033186205936559655,0.00272742528209161
2019-05-31,-0.008446548636638546,-0.012935025564097018,-0.012124250856546677,-0.013566528903214168
2019-06-04,0.008652855469149824,0.016426968754496216,0.01970446726092536,0.021474479796916652
2019-06-05,0.012492239650428626,0.014050445344063796,0.004135018783264489,0.008624741613349954
2019-06-06,0.007575312898860083,0.007914714129494096,0.008442643675679706,0.006481855221243944
2019-06-07,0.002076717401258771,0.011104524365975033,0.007394365824248898,0.009957412480727025
2019-06-10,-0.002506625347227489,-1.5567294900993567e-05,0.004730879659978813,0.004578001770600376
2019-06-11,2.9538057072877092e-05,-0.0007295994778189951,0.0030949243848980602,-0.0002423512373035108
2019-06-12,0.00946476357252817,0.004716757936514553,-0.002629633227842841,-0.0017663525665801744
2019-06-13,0.00028065810065336155,0.00217261534775933,0.004943457185038027,0.004117387355319821
2019-06-14,0.010079951531735978,0.004454186419740856,0.0008876764320617146,-0.0011054328039022928
2019-06-17,0.0014149632588668806,-0.0029354425211791033,0.001551364371332686,0.0003799693997639627
2019-06-18,-0.0010265994864682008,0.006152720388836393,0.01021729105423299,0.010416672296344357
2019-06-19,0.0034527558288687883,0.002072080245382749,0.0011234193012851922,0.0022548409223618502
2019-06-20,0.005947359068441264,0.006121243002786554,0.009122371072479719,0.009508891532666153
