,Sharpe,MaxDrawdown,Volatility,CumulativeReturn
Equal Weight,0.4665624354874295,-0.2796206703860956,0.136845613397088,0.46241453252850184
Mean Variance,0.4665624354874293,-0.2796206703860956,0.13684561339708803,0.46241453252850184
AI Allocation,0.3325200421303567,-0.29071497917175293,0.10190546978066028,0.2218242883682251
