,Sharpe,MaxDrawdown,Volatility,CumulativeReturn
Equal Weight,0.47311225920674993,-0.44480595337506734,0.14497302182197605,1.872437842446426
MeanVariance,0.47297306637985825,-0.39977373879702216,0.13329819134051502,1.6751181024628163
