Date,SPY,QQQ,TLT,GLD,EEM,IWM,VNQ,LQD
2018-01-02,0.07939087,0.06423669,0.3727773,0.13478532,0.03655368,0.050134737,0.0349654,0.22715606
2018-01-03,0.07936388,0.06420335,0.3728822,0.13477784,0.036534112,0.050101373,0.03493318,0.22720417
2018-01-04,0.07933245,0.064188324,0.3729653,0.13474621,0.03652412,0.05008223,0.03492448,0.2272369
2018-01-05,0.079361014,0.06420429,0.37285987,0.13478024,0.036543842,0.050102267,0.034942582,0.22720589
2018-01-08,0.07937,0.0642113,0.37282518,0.13477911,0.0365539,0.050104015,0.034955386,0.22720116
2018-01-09,0.07936641,0.06419329,0.37279367,0.13470812,0.036563348,0.0501523,0.034977216,0.22724558
2018-01-10,0.079381995,0.064231604,0.3727514,0.13473172,0.036565844,0.05014969,0.03498867,0.22719903
2018-01-11,0.079355724,0.064241186,0.3727911,0.13475332,0.036567323,0.05012916,0.034986537,0.22717562
2018-01-12,0.0793426,0.06423336,0.37288058,0.1347534,0.036558997,0.050114337,0.03497658,0.22714004
2018-01-16,0.07937267,0.06423734,0.37281245,0.13471971,0.036578763,0.050146446,0.035011385,0.22712123
2018-01-17,0.07934867,0.06422706,0.37284636,0.13475189,0.036573473,0.050123896,0.0349891,0.22713949
2018-01-18,0.07936505,0.06423895,0.37275922,0.13471003,0.03658118,0.05016276,0.03501338,0.22716936
2018-01-19,0.079388484,0.06427621,0.37260333,0.13477607,0.036618516,0.050177548,0.035046272,0.22711356
2018-01-22,0.07938879,0.06430068,0.3724945,0.13479887,0.036649346,0.050203137,0.035075944,0.22708876
2018-01-23,0.07937401,0.064293556,0.372568,0.13478589,0.036636796,0.050184995,0.035061546,0.22709519
2018-01-24,0.07937037,0.064276665,0.37262398,0.13472715,0.036626842,0.050188906,0.035066463,0.22711964
2018-01-25,0.07931446,0.064252414,0.37280712,0.1347492,0.036589894,0.050137985,0.035007462,0.22714143
2018-01-26,0.07931739,0.06425482,0.37277478,0.13475779,0.036599338,0.050148506,0.03501908,0.22712833
2018-01-29,0.079322964,0.06422483,0.37282223,0.13466726,0.036591064,0.050155878,0.03502733,0.22718848
2018-01-30,0.07927921,0.06417703,0.3730963,0.1346365,0.036536057,0.050091572,0.03496512,0.22721826
2018-01-31,0.07926935,0.06417476,0.3731516,0.13470593,0.036519036,0.05005533,0.03492821,0.22719575
2018-02-01,0.07924199,0.064131305,0.37331885,0.13460073,0.03649094,0.050041325,0.034914065,0.22726078
2018-02-02,0.07912373,0.06400635,0.37408674,0.13450748,0.03632844,0.049859025,0.034733657,0.22735459
2018-02-05,0.07883859,0.06374071,0.37555525,0.13430889,0.036023952,0.04951744,0.03438121,0.22763385
2018-02-06,0.0787817,0.063657194,0.37575373,0.13432011,0.03599237,0.04949097,0.034321554,0.22768241
2018-02-07,0.07872095,0.06361652,0.37611118,0.13422467,0.035922986,0.049394794,0.03425797,0.2277509
2018-02-08,0.0785738,0.06349925,0.37685952,0.13411666,0.035771973,0.0492232,0.034089774,0.22786579
2018-02-09,0.078541756,0.06341477,0.37697732,0.13416792,0.03573671,0.049206275,0.034015175,0.22794008
2018-02-12,0.078530826,0.06340115,0.3769555,0.13414258,0.03573793,0.049205918,0.034017228,0.22800884
2018-02-13,0.07851433,0.06338578,0.37700754,0.13414173,0.0357185,0.049193423,0.033989992,0.22804867
2018-02-14,0.0784737,0.06336056,0.37710455,0.13410008,0.035702214,0.049179576,0.033973604,0.22810565
2018-02-15,0.078451455,0.06332911,0.3772082,0.13408238,0.035690628,0.04914572,0.03395479,0.22813779
2018-02-16,0.07843321,0.06332542,0.37728462,0.13406089,0.03568099,0.04912662,0.033946306,0.228142
2018-02-20,0.078444,0.06334992,0.37732932,0.13405292,0.035667375,0.049117297,0.033940975,0.22809823
2018-02-21,0.078441896,0.06335543,0.37729567,0.13404314,0.035675336,0.04912558,0.033950966,0.228112
2018-02-22,0.078416064,0.06330085,0.37739033,0.13406456,0.035659883,0.049102124,0.033916097,0.22815011
2018-02-23,0.078401975,0.06328761,0.37745404,0.13405025,0.035646938,0.0490915,0.033903535,0.22816421
2018-02-26,0.07839623,0.063290544,0.3774465,0.13403809,0.035652075,0.04909314,0.0339126,0.22817084
2018-02-27,0.07836771,0.06326393,0.37776333,0.13396466,0.035601087,0.049017753,0.033869445,0.22815213
2018-02-28,0.0783525,0.06324524,0.37790936,0.13395907,0.035576716,0.04898672,0.03384344,0.22812699
2018-03-01,0.07835469,0.06326698,0.37786204,0.13396232,0.035567775,0.048995677,0.033836596,0.22815402
2018-03-02,0.078366324,0.06323342,0.3777205,0.13400224,0.035587333,0.049036518,0.033838034,0.22821565
2018-03-05,0.078422196,0.063287735,0.3774472,0.13405629,0.035648126,0.049087413,0.033904124,0.22814691
2018-03-06,0.078608856,0.06347497,0.37650996,0.13419135,0.03582918,0.049296048,0.034114167,0.22797547
2018-03-07,0.0786657,0.063519776,0.37625673,0.13423431,0.03587544,0.04934886,0.03416416,0.22793496
2018-03-08,0.0787114,0.06356274,0.37604752,0.1342767,0.035926305,0.049389213,0.034222074,0.22786409
2018-03-09,0.07893988,0.063769385,0.37488547,0.13443306,0.03615823,0.04964822,0.034490626,0.22767514
2018-03-12,0.07897077,0.063789606,0.37475386,0.13444962,0.0361818,0.04966851,0.034516945,0.22766893
2018-03-13,0.07899384,0.06381118,0.374759,0.13441032,0.03619805,0.049693566,0.034557108,0.2275769
2018-03-14,0.07899235,0.06380511,0.3748002,0.13440828,0.036189318,0.04968524,0.034547444,0.22757205
2018-03-15,0.07906998,0.06387707,0.37446415,0.13446549,0.03624907,0.049759086,0.034619957,0.22749522
2018-03-16,0.07906763,0.06389587,0.37433466,0.13453388,0.036265153,0.049759496,0.0346131,0.22753026
2018-03-19,0.07906762,0.063886315,0.37451684,0.13447614,0.036224898,0.049743693,0.034596294,0.2274883
2018-03-20,0.07907848,0.063908815,0.37444958,0.13450372,0.036228128,0.04976167,0.034599457,0.22747022
2018-03-21,0.07905075,0.06389496,0.374365,0.1345523,0.036240954,0.049760044,0.03458013,0.22755592
2018-03-22,0.07899588,0.06381163,0.37491548,0.13444827,0.03613473,0.049656842,0.034484927,0.22755222
2018-03-23,0.07897967,0.06379052,0.3749939,0.13445339,0.036114983,0.049640067,0.034454875,0.2275726
2018-03-26,0.07884859,0.06366817,0.37543654,0.13443875,0.036003638,0.049526397,0.03428964,0.22778822
2018-03-27,0.078874834,0.06369021,0.375487,0.13437709,0.03600892,0.049520228,0.03432919,0.22771248
2018-03-28,0.07884265,0.06367101,0.37568808,0.13436681,0.035961337,0.04948184,0.03427876,0.22770956
2018-03-29,0.07881344,0.06366285,0.3756318,0.13442843,0.035954114,0.049486116,0.034238067,0.22778529
2018-04-02,0.078748405,0.06357969,0.3761035,0.13431914,0.03588209,0.049386952,0.034175172,0.22780503
2018-04-03,0.07874907,0.06359257,0.37600562,0.13437867,0.03587631,0.049407594,0.034148052,0.22784215
2018-04-04,0.07874548,0.063592486,0.37603685,0.13437396,0.035869814,0.049393453,0.034143675,0.22784436
2018-04-05,0.07872188,0.063584626,0.3761232,0.13434888,0.035866503,0.049380124,0.034143142,0.22783163
2018-04-06,0.07862437,0.06346135,0.37672406,0.13421352,0.03576872,0.04924097,0.03404581,0.2279212
2018-04-09,0.07869398,0.06354704,0.37630603,0.1343501,0.03582569,0.049329106,0.03408691,0.22786108
2018-04-10,0.0786591,0.06351743,0.3764737,0.13431546,0.035796102,0.04929775,0.03405511,0.22788532
2018-04-11,0.07869585,0.06353492,0.37644643,0.13426936,0.035822447,0.04932274,0.034116823,0.22779144
2018-04-12,0.07867633,0.06354182,0.37639824,0.1343015,0.03581677,0.04932622,0.03409103,0.22784817
2018-04-13,0.07869186,0.063531645,0.37654525,0.13424952,0.035823822,0.049305063,0.034129016,0.22772385
2018-04-16,0.07868304,0.06354004,0.37639952,0.13429639,0.035824765,0.04931817,0.034101233,0.22783683
2018-04-17,0.07872489,0.06357599,0.3762348,0.13430649,0.035865456,0.049355395,0.034156077,0.22778092
2018-04-18,0.07873513,0.06356991,0.3762973,0.13424097,0.035876025,0.049352296,0.034195583,0.2277328
2018-04-19,0.07871154,0.063548736,0.37642273,0.1342311,0.03585295,0.04932784,0.034167483,0.22773752
2018-04-20,0.07876792,0.0636116,0.37606278,0.13427834,0.035909526,0.04940518,0.034229934,0.2277348
2018-04-23,0.07887805,0.06371263,0.37554127,0.13434853,0.036019236,0.049517725,0.03436174,0.22762085
2018-04-24,0.07894359,0.06378923,0.37518063,0.13440378,0.036089424,0.049610145,0.03444373,0.22753948
2018-04-25,0.078997426,0.06383826,0.37494603,0.13446945,0.036126014,0.049662307,0.034483135,0.22747742
2018-04-26,0.07903461,0.06389774,0.37462988,0.13456048,0.03618613,0.049708337,0.034526035,0.22745684
2018-04-27,0.07905525,0.0639087,0.37457183,0.13457745,0.036190324,0.049714204,0.034528192,0.22745402
2018-04-30,0.07916693,0.06398612,0.3741945,0.13459928,0.0362648,0.049812973,0.034641188,0.2273342
2018-05-01,0.07916382,0.063986614,0.37408483,0.13466199,0.03626619,0.049815834,0.03460935,0.22741137
2018-05-02,0.07920746,0.06402691,0.37394467,0.13463935,0.036311805,0.04986345,0.034689587,0.22731677
2018-05-03,0.079224125,0.064027786,0.37393293,0.13466403,0.036312953,0.049866173,0.034687422,0.22728464
2018-05-04,0.07926386,0.064100124,0.37354836,0.134744,0.03637723,0.049932856,0.034736015,0.2272976
2018-05-07,0.0792453,0.064078614,0.37367922,0.1347219,0.03635338,0.049905054,0.034708228,0.2273084
2018-05-08,0.07928392,0.06413187,0.3734406,0.13476145,0.036403608,0.04996358,0.034763232,0.2272517
2018-05-09,0.079304285,0.064159274,0.37328964,0.13479343,0.036428794,0.049990382,0.03478961,0.2272446
2018-05-10,0.0792801,0.06415322,0.37334618,0.13476695,0.036428694,0.049984317,0.034795623,0.22724491
2018-05-11,0.07928587,0.064164385,0.3733208,0.13474517,0.03644366,0.049989056,0.034821175,0.22722988
2018-05-14,0.079335034,0.06415778,0.3733325,0.13471444,0.03643532,0.05001137,0.034846604,0.22716695
2018-05-15,0.079280734,0.06410842,0.37356958,0.1346652,0.03639573,0.049956795,0.0347994,0.22722408
2018-05-16,0.079221,0.06408704,0.3736912,0.13468617,0.036366716,0.049915906,0.034738928,0.22729298
2018-05-17,0.079252124,0.0640852,0.37368244,0.13465503,0.036380086,0.049929373,0.034778442,0.2272373
2018-05-18,0.07925407,0.06410686,0.37366617,0.13466139,0.036385994,0.049934164,0.034790657,0.22720076
2018-05-21,0.07923375,0.06410578,0.37367564,0.13471591,0.03637429,0.04991742,0.03474405,0.22723311
2018-05-22,0.07928831,0.06413468,0.37358177,0.13469243,0.036398616,0.049962617,0.03480909,0.22713254
2018-05-23,0.0792761,0.06413813,0.37347367,0.13474111,0.036407996,0.04995757,0.034784883,0.22722049
2018-05-24,0.07929233,0.064159885,0.37340024,0.1347361,0.036429763,0.049978394,0.03481526,0.227188
