,net_return
2006-10-17,-0.005241238301288363
2006-10-18,0.0018257764977705998
2006-10-19,0.0024673963444506253
2006-10-20,-0.0030769032010706373
2006-10-23,-0.00024146843385746265
2006-10-24,0.0009233266101352625
2006-10-25,0.0069574524195034505
2006-10-26,0.006441136883496249
2006-10-27,-0.0057811109740563875
2006-10-30,0.0030404267882873873
2006-10-31,0.0047024508866751625
2006-11-01,-0.004123003530415713
2006-11-02,-0.0016792315228290626
2006-11-03,-0.0025438504389733376
2006-11-06,0.00841865787303955
2006-11-07,0.0015682515008062126
2006-11-08,0.0009477627550171499
2006-11-09,0.001990715992467788
2006-11-10,0.0023193215320011624
2006-11-13,0.0017750076469593
2006-11-14,0.0077044105530582
2006-11-15,0.0018176356304143875
2006-11-16,-0.0014807719774016874
2006-11-17,0.0014093908752346874
2006-11-20,0.004526195889218299
2006-11-21,0.005966439050324575
2006-11-22,0.0034082315409140877
2006-11-24,0.0016094238721081503
2006-11-27,-0.01236963582077944
2006-11-28,0.002630875364108475
2006-11-29,0.0063046583684049
2006-11-30,0.0055533003264191
2006-12-01,-0.0026331084239339755
2006-12-04,0.009641150775305977
2006-12-05,0.0010337806259982623
2006-12-06,-0.005319944288678288
2006-12-07,-0.003851702086130562
2006-12-08,-0.00206732547349495
2006-12-11,0.0033325693792774377
2006-12-12,-0.0031742463033991876
2006-12-13,-0.00127726686475225
2006-12-14,0.0039074222274498365
2006-12-15,-0.0023925684757260977
2006-12-18,-0.004686594272547907
2006-12-19,-0.0007382691127011626
2006-12-20,0.0025891571628153254
2006-12-21,-0.0027174103011714875
2006-12-22,-0.004359175681370387
2006-12-26,0.006262230161975437
2006-12-27,0.004978560888693574
2006-12-28,-0.0005187950010637375
2006-12-29,-0.0007864467300588126
2007-01-03,0.00023581193247406242
2007-01-04,0.001793023934058487
2007-01-05,-0.013951890307290339
2007-01-08,0.0020891501262005874
2007-01-09,0.001224149963264475
2007-01-10,0.002901503377243
2007-01-11,0.004744208112976438
2007-01-12,0.008112414129684001
2007-01-16,0.0010414529480779876
2007-01-17,-0.0013017321710535753
2007-01-18,-0.0052927139025018876
2007-01-19,0.0055198224327537865
2007-01-22,-0.004047356468771087
2007-01-23,0.006442243407311912
2007-01-24,0.00734532077238085
2007-01-25,-0.009644901206246049
2007-01-26,0.0010986208268841
